t,imu_roll,imu_pitch,pid_roll,pid_pitch
1779027067.3689,-0.014666,-0.009677,0.003235,0.002917
1779027067.3887,-0.014667,-0.009726,0.002893,0.002692
1779027067.4047,-0.014452,-0.009617,0.002520,0.002442
1779027067.4122,-0.014115,-0.009538,0.001658,0.002330
1779027067.4255,-0.013668,-0.009467,0.001870,0.002455
1779027067.4488,-0.013125,-0.009402,0.002022,0.002509
1779027067.4652,-0.012496,-0.009339,0.001519,0.002475
1779027067.4811,-0.011790,-0.009281,0.001243,0.002471
1779027067.4970,-0.011017,-0.009224,0.000975,0.002465
1779027067.5127,-0.010185,-0.009170,0.000709,0.002462
